"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
01-12 15:46:50,10.639,3.005,86.309,0.042,0.0,0.005,21438005248.0,458813440.0,21534629888.0,7129583616.0,11742.600,2852.217,0.0,6.150,java / 13%,java / 5024849920%
01-12 15:47:50,10.913,3.171,85.878,0.034,0.0,0.004,21439754240.0,458813440.0,21540409344.0,7122055168.0,11455.983,2379.850,0.0,3.683,java / 13%,java / 5024391168%
01-12 15:48:50,10.717,3.129,86.117,0.032,0.0,0.006,21422637056.0,458813440.0,21546299392.0,7133282304.0,11508.333,2417.500,0.0,3.717,java / 13%,java / 5009235968%
01-12 15:49:50,10.502,3.009,86.419,0.059,0.0,0.013,21431447552.0,458813440.0,21539569664.0,7131201536.0,507590.983,15372.333,0.0,7.600,java / 12%,java / 5008822272%
01-12 15:50:50,11.170,3.125,85.527,0.167,0.0,0.012,21412536320.0,458821632.0,21535629312.0,7154044928.0,37940.750,1493968.267,0.0,17.950,java / 12%,java / 4995772416%
01-12 15:51:50,9.638,2.965,87.340,0.051,0.0,0.006,20660183040.0,458821632.0,21541666816.0,7900360704.0,12178.350,3189.467,0.0,5.233,java / 2%,java / 4282810368%
01-12 15:52:50,12.409,3.545,84.000,0.039,0.0,0.007,21270704128.0,458821632.0,21549105152.0,7282401280.0,25200.433,9705.050,0.0,5.717,java / 13%,java / 4701540352%
01-12 15:53:50,10.939,3.205,85.812,0.030,0.0,0.014,16570748928.0,458821632.0,21555118080.0,11976343552.0,522395.150,23634.367,0.0,4.533,java / 0%,java / 2682900480%
01-12 15:54:50,12.743,3.687,83.511,0.052,0.0,0.007,21510627328.0,458821632.0,21559934976.0,7031648256.0,27415.167,10730.950,0.0,5.983,java / 15%,java / 4891172864%
01-12 15:55:50,13.279,3.453,83.112,0.148,0.0,0.008,21614014464.0,458821632.0,21554147328.0,6934048768.0,26247.767,9934.683,0.0,16.0,java / 15%,java / 4968296448%
01-12 15:56:50,12.692,3.394,83.879,0.028,0.0,0.007,16608964608.0,458821632.0,21560184832.0,11933061120.0,26382.400,9752.350,0.0,4.100,java / 0%,java / 2682900480%
01-12 15:57:50,1.980,0.400,97.565,0.049,0.0,0.006,16519426048.0,458821632.0,21570338816.0,12012445696.0,95099.300,84984.767,0.0,5.317,java / 0%,java / 2682900480%
01-12 15:58:50,1.133,0.295,98.513,0.056,0.0,0.003,16346890240.0,458821632.0,21576048640.0,12179271680.0,12683.233,8688.983,0.0,6.550,java / 0%,java / 2682900480%
