"date/time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","read","writ","cpu process","memory process"
25-11 02:33:34,2.003,0.690,97.180,0.108,0.0,0.019,16361058304.0,439824384.0,21758701568.0,12001447936.0,18484.750,13474.467,0.0,12.967,java / 0%,java / 2682003456%
25-11 02:34:34,1.590,0.659,97.628,0.103,0.0,0.020,16351358976.0,439840768.0,21764931584.0,12004900864.0,19163.600,14338.683,0.0,14.400,java / 0%,java / 2681987072%
25-11 02:35:34,1.566,0.628,97.696,0.091,0.0,0.019,16360828928.0,439861248.0,21769486336.0,11990855680.0,18870.233,13731.367,0.0,12.050,java / 0%,java / 2682023936%
25-11 02:36:34,1.551,0.652,97.692,0.086,0.001,0.018,16370720768.0,439881728.0,21775626240.0,11974803456.0,18690.117,13547.450,0.0,11.250,java / 0%,java / 2682011648%
25-11 02:37:34,1.570,0.636,97.673,0.101,0.0,0.020,16368050176.0,439894016.0,21769064448.0,11984023552.0,18881.267,13881.300,0.0,11.900,java / 0%,java / 2682019840%
25-11 02:38:34,1.601,0.704,97.585,0.091,0.0,0.019,16377372672.0,439902208.0,21775839232.0,11967918080.0,18386.800,13313.750,0.0,11.967,java / 0%,java / 2682003456%
25-11 02:39:34,1.635,0.665,97.569,0.112,0.0,0.020,16377720832.0,439918592.0,21769281536.0,11974111232.0,18663.717,13736.450,0.0,13.517,java / 0%,java / 2682007552%
25-11 02:40:34,1.547,0.657,97.686,0.092,0.0,0.019,16373223424.0,439930880.0,21775282176.0,11972595712.0,18375.967,13380.900,0.0,11.067,java / 0%,java / 2682015744%
25-11 02:41:34,1.586,0.650,97.647,0.096,0.0,0.020,16376881152.0,439943168.0,21779972096.0,11964235776.0,18538.833,13363.317,0.0,11.733,java / 0%,java / 2682023936%
25-11 02:42:34,1.572,0.659,97.643,0.106,0.0,0.020,16370421760.0,439959552.0,21786628096.0,11964022784.0,18583.283,13871.183,0.0,11.400,java / 0%,java / 2682003456%
25-11 02:43:34,2.043,0.697,97.124,0.117,0.0,0.019,16359157760.0,439967744.0,21789200384.0,11972706304.0,18826.900,13731.850,0.0,13.200,java / 0%,java / 2682007552%
25-11 02:44:34,1.627,0.640,97.630,0.084,0.0,0.019,16358920192.0,439984128.0,21796245504.0,11965882368.0,18754.200,13879.267,0.0,13.633,java / 0%,java / 2681962496%
25-11 02:45:34,1.608,0.643,97.635,0.097,0.0,0.017,16357933056.0,440000512.0,21789585408.0,11973513216.0,18668.417,13440.967,0.0,11.800,java / 0%,java / 2681958400%
25-11 02:46:34,1.571,0.653,97.666,0.093,0.0,0.017,16374374400.0,440020992.0,21794406400.0,11952230400.0,18402.567,13291.433,0.0,11.667,java / 0%,java / 2682019840%
25-11 02:47:34,1.546,0.651,97.691,0.094,0.0,0.018,16359124992.0,440029184.0,21800136704.0,11961741312.0,18804.750,13910.283,0.0,11.517,java / 0%,java / 2681958400%
25-11 02:48:34,1.565,0.708,97.627,0.084,0.0,0.016,16355942400.0,440041472.0,21806399488.0,11958648832.0,18626.967,13769.383,0.0,11.367,java / 0%,java / 2681958400%
25-11 02:49:34,1.578,0.658,97.635,0.109,0.0,0.020,16367452160.0,440049664.0,21800079360.0,11953451008.0,19032.017,14215.517,0.0,14.0,java / 0%,java / 2681958400%
25-11 02:50:34,1.550,0.658,97.677,0.096,0.0,0.018,16356777984.0,440066048.0,21807071232.0,11957116928.0,17941.567,13824.083,0.0,11.917,java / 0%,java / 2682028032%
25-11 02:51:34,2.000,0.707,97.074,0.200,0.0,0.019,16366243840.0,440078336.0,21801803776.0,11952906240.0,18671.617,13688.583,0.0,22.100,java / 0%,java / 2681962496%
25-11 02:52:34,1.564,0.653,97.648,0.117,0.0,0.018,16374935552.0,440094720.0,21808058368.0,11937943552.0,18640.367,13443.650,0.0,12.650,java / 0%,java / 2681962496%
25-11 02:53:34,2.054,0.688,97.132,0.109,0.0,0.017,16361648128.0,440107008.0,21807271936.0,11952005120.0,18606.633,13486.667,0.0,13.0,java / 0%,java / 2681962496%
25-11 02:54:34,1.637,0.664,97.578,0.102,0.0,0.020,16363872256.0,440111104.0,21814525952.0,11942522880.0,18704.233,13730.933,0.0,13.550,java / 0%,java / 2682011648%
25-11 02:55:34,1.575,0.648,97.649,0.110,0.0,0.018,16360026112.0,440119296.0,21807816704.0,11953070080.0,18753.967,13837.383,0.0,12.567,java / 0%,java / 2682028032%
25-11 02:56:34,1.525,0.644,97.710,0.103,0.0,0.018,16360275968.0,440127488.0,21812908032.0,11947720704.0,18531.217,13380.250,0.0,11.333,java / 0%,java / 2681974784%
25-11 02:57:34,1.572,0.631,97.673,0.104,0.0,0.019,16362844160.0,440131584.0,21806247936.0,11951808512.0,18515.133,13452.050,0.0,11.450,java / 0%,java / 2682023936%
25-11 02:58:34,1.610,0.717,97.562,0.094,0.0,0.017,16363282432.0,440139776.0,21812506624.0,11945103360.0,18479.217,13436.917,0.0,11.333,java / 0%,java / 2682028032%
25-11 02:59:34,1.579,0.643,97.659,0.098,0.0,0.019,16370319360.0,440147968.0,21817937920.0,11932626944.0,18828.900,13704.317,0.0,13.517,java / 0%,java / 2682011648%
25-11 03:00:34,1.613,0.652,97.626,0.092,0.0,0.017,16386404352.0,440156160.0,21825269760.0,11909201920.0,18923.650,13885.983,0.0,11.667,java / 0%,java / 2682028032%
25-11 03:01:34,1.559,0.616,97.711,0.095,0.0,0.018,16357728256.0,440160256.0,21818572800.0,11944570880.0,18483.0,13449.0,0.0,11.900,java / 0%,java / 2682028032%
25-11 03:02:34,1.610,0.644,97.637,0.091,0.0,0.018,16372494336.0,440164352.0,21823909888.0,11924463616.0,18331.433,13273.200,0.0,11.850,java / 0%,java / 2682015744%
25-11 03:03:34,2.304,0.699,96.863,0.118,0.0,0.016,16375046144.0,440180736.0,21828984832.0,11916820480.0,18424.867,13499.667,0.0,13.883,java / 0%,java / 2681978880%
25-11 03:04:34,1.573,0.637,97.669,0.102,0.0,0.018,16377352192.0,440193024.0,21834924032.0,11908562944.0,19002.317,14136.0,0.0,13.683,java / 0%,java / 2682028032%
25-11 03:05:34,1.552,0.638,97.680,0.112,0.0,0.018,16375058432.0,440205312.0,21840527360.0,11905241088.0,18854.900,13929.800,0.0,11.817,java / 0%,java / 2682028032%
25-11 03:06:34,1.568,0.662,97.649,0.103,0.0,0.018,16385912832.0,440221696.0,21847699456.0,11887198208.0,18646.700,13465.933,0.0,11.067,java / 0%,java / 2681978880%
25-11 03:07:34,1.583,0.630,97.684,0.084,0.0,0.020,16367411200.0,440233984.0,21840977920.0,11912409088.0,18392.600,13316.767,0.0,12.367,java / 0%,java / 2681978880%
25-11 03:08:34,1.610,0.694,97.574,0.103,0.0,0.019,16361521152.0,440246272.0,21846188032.0,11913076736.0,18758.967,13544.367,0.0,11.817,java / 0%,java / 2681974784%
25-11 03:09:34,1.690,0.688,97.492,0.112,0.0,0.018,16359243776.0,440254464.0,21839454208.0,11922079744.0,18680.633,13906.267,0.0,14.217,java / 0%,java / 2681974784%
25-11 03:10:34,1.564,0.651,97.659,0.109,0.0,0.017,16344080384.0,440266752.0,21841002496.0,11935682560.0,18703.067,13695.633,0.0,11.800,java / 0%,java / 2681974784%
25-11 03:11:34,1.550,0.646,97.686,0.100,0.0,0.020,16352186368.0,440279040.0,21846355968.0,11922210816.0,18712.417,13903.867,0.0,11.367,java / 0%,java / 2681978880%
25-11 03:12:34,1.545,0.659,97.694,0.084,0.0,0.019,16366489600.0,440295424.0,21853536256.0,11900710912.0,18803.367,13916.617,0.0,11.700,java / 0%,java / 2681982976%
25-11 03:13:34,2.004,0.703,97.169,0.105,0.0,0.019,16366166016.0,440311808.0,21751083008.0,12003471360.0,18401.733,13272.450,0.0,14.083,java / 0%,java / 2682007552%
25-11 03:14:34,1.590,0.651,97.667,0.077,0.0,0.016,16356696064.0,440324096.0,21757292544.0,12006719488.0,19133.167,14271.183,0.0,12.867,java / 0%,java / 2681978880%
25-11 03:15:34,2.053,0.681,97.036,0.214,0.0,0.016,16364498944.0,440344576.0,21752180736.0,12004007936.0,18585.400,13384.367,0.0,23.550,java / 0%,java / 2681982976%
25-11 03:16:34,1.533,0.642,97.713,0.092,0.0,0.020,16369102848.0,440360960.0,21758177280.0,11993391104.0,17961.833,13555.717,0.0,12.683,java / 0%,java / 2681966592%
25-11 03:17:34,1.546,0.652,97.689,0.093,0.0,0.020,16355774464.0,440299520.0,21754163200.0,12010795008.0,18505.583,13437.200,0.0,11.317,java / 0%,java / 2681962496%
25-11 03:18:34,1.575,0.705,97.626,0.077,0.0,0.017,16353034240.0,440315904.0,21760548864.0,12007133184.0,18374.400,13301.383,0.0,11.617,java / 0%,java / 2681962496%
25-11 03:19:34,1.895,0.664,97.281,0.141,0.0,0.019,16363966464.0,440336384.0,21756035072.0,12000694272.0,18800.217,13875.133,0.0,18.333,java / 0%,java / 2681962496%
25-11 03:20:34,1.570,0.656,97.636,0.119,0.0,0.019,16378126336.0,440352768.0,21752365056.0,11990188032.0,18886.233,13889.300,0.0,14.400,java / 0%,java / 2681962496%
25-11 03:21:34,1.563,0.639,97.696,0.083,0.0,0.018,16359280640.0,440369152.0,21745840128.0,12015542272.0,18662.100,13715.083,0.0,11.150,java / 0%,java / 2681962496%
25-11 03:22:34,1.527,0.648,97.707,0.098,0.0,0.020,16361426944.0,440385536.0,21750763520.0,12008456192.0,18656.117,13477.883,0.0,12.100,java / 0%,java / 2681962496%
25-11 03:23:34,1.931,0.699,97.247,0.105,0.0,0.018,16356847616.0,440401920.0,21758509056.0,12005273600.0,18682.950,13775.050,0.0,13.950,java / 0%,java / 2681962496%
25-11 03:24:34,1.616,0.660,97.614,0.091,0.0,0.019,16368336896.0,440418304.0,21765857280.0,11986419712.0,18774.333,13919.883,0.0,13.300,java / 0%,java / 2681962496%
25-11 03:25:34,1.652,0.646,97.568,0.117,0.0,0.017,16368037888.0,440434688.0,21759307776.0,11993251840.0,18636.050,13500.900,0.0,12.667,java / 0%,java / 2681962496%
25-11 03:26:34,1.579,0.648,97.645,0.109,0.0,0.019,16374890496.0,440451072.0,21765562368.0,11980128256.0,18429.783,13354.317,0.0,13.700,java / 0%,java / 2681962496%
25-11 03:27:34,1.583,0.648,97.648,0.102,0.0,0.019,16384004096.0,440459264.0,21771689984.0,11964878848.0,18660.517,13522.467,0.0,11.900,java / 0%,java / 2681962496%
25-11 03:28:34,1.558,0.689,97.632,0.102,0.0,0.018,16370151424.0,440467456.0,21777469440.0,11972943872.0,18538.200,13485.933,0.017,12.050,java / 0%,java / 2681962496%
25-11 03:29:34,1.579,0.649,97.635,0.119,0.0,0.018,16363548672.0,440475648.0,21770301440.0,11986706432.0,19041.867,13731.950,0.0,14.017,java / 0%,java / 2681966592%
25-11 03:30:34,1.563,0.658,97.661,0.100,0.0,0.019,16357466112.0,440492032.0,21776441344.0,11986632704.0,18860.967,13903.083,0.0,12.200,java / 0%,java / 2682011648%
25-11 03:31:34,1.550,0.640,97.702,0.088,0.0,0.020,16350396416.0,440504320.0,21769859072.0,12000272384.0,18470.017,13414.317,0.0,11.617,java / 0%,java / 2682023936%
25-11 03:32:34,1.543,0.643,97.708,0.088,0.0,0.018,16361721856.0,440520704.0,21775597568.0,11983192064.0,18467.250,13355.900,0.0,11.833,java / 0%,java / 2682949632%
25-11 03:33:34,1.962,0.697,97.212,0.111,0.0,0.018,16358068224.0,440532992.0,21784584192.0,11977846784.0,18484.333,13507.183,0.0,12.983,java / 0%,java / 2682949632%
25-11 03:34:34,1.574,0.656,97.645,0.105,0.0,0.020,16354775040.0,440549376.0,21786337280.0,11979370496.0,18234.267,13396.617,0.0,12.667,java / 0%,java / 2682949632%
25-11 03:35:34,1.616,0.643,97.643,0.079,0.0,0.019,16350126080.0,440561664.0,21778337792.0,11992006656.0,18859.350,13894.433,0.0,11.783,java / 0%,java / 2682949632%
25-11 03:36:34,1.536,0.657,97.680,0.109,0.0,0.018,16362258432.0,440582144.0,21784461312.0,11973730304.0,18771.500,13887.350,0.0,11.617,java / 0%,java / 2682945536%
25-11 03:37:34,1.602,0.628,97.624,0.127,0.0,0.019,16354111488.0,440598528.0,21777764352.0,11988557824.0,18451.283,13299.350,0.0,12.233,java / 0%,java / 2682908672%
25-11 03:38:34,1.576,0.706,97.615,0.084,0.0,0.019,16365821952.0,440614912.0,21783891968.0,11970703360.0,18855.283,13934.550,0.0,11.483,java / 0%,java / 2682953728%
25-11 03:39:34,1.579,0.638,97.661,0.102,0.0,0.020,16352931840.0,440627200.0,21790760960.0,11976712192.0,17949.700,13794.467,0.0,13.733,java / 0%,java / 2682900480%
25-11 03:40:34,1.547,0.653,97.700,0.080,0.0,0.020,16363347968.0,440635392.0,21796904960.0,11960143872.0,18138.933,13349.617,0.0,12.250,java / 0%,java / 2682892288%
25-11 03:41:34,1.585,0.647,97.671,0.078,0.0,0.019,16372862976.0,440643584.0,21788778496.0,11958747136.0,18548.250,13456.933,0.0,11.483,java / 0%,java / 2682937344%
25-11 03:42:34,1.587,0.653,97.663,0.079,0.0,0.017,16367312896.0,440643584.0,21795168256.0,11957907456.0,18370.683,13259.217,0.0,12.333,java / 0%,java / 2682937344%
25-11 03:43:34,2.578,0.702,96.496,0.206,0.0,0.019,16359813120.0,440643584.0,21791703040.0,11968872448.0,18763.100,13903.717,0.0,25.217,java / 1%,java / 2682937344%
25-11 03:44:34,1.586,0.653,97.646,0.095,0.0,0.020,16359014400.0,440647680.0,21798858752.0,11962511360.0,18838.450,13769.483,0.0,13.767,java / 0%,java / 2682937344%
25-11 03:45:34,1.562,0.649,97.691,0.082,0.0,0.016,16361254912.0,440647680.0,21804441600.0,11954688000.0,18639.583,13705.950,0.0,11.183,java / 0%,java / 2682937344%
25-11 03:46:34,1.562,0.663,97.655,0.102,0.0,0.018,16368902144.0,440647680.0,21810565120.0,11940917248.0,18910.983,13918.217,0.0,11.917,java / 0%,java / 2682937344%
25-11 03:47:34,1.568,0.641,97.677,0.095,0.0,0.018,16359178240.0,440647680.0,21802704896.0,11958501376.0,18372.400,13248.583,0.0,11.933,java / 0%,java / 2682941440%
25-11 03:48:34,1.578,0.716,97.600,0.088,0.0,0.017,16354275328.0,440647680.0,21808828416.0,11957280768.0,18691.433,13509.467,0.0,10.983,java / 0%,java / 2682937344%
